order_id,num_products,kg,un,lat_x,lng_x,promised_time,on_demand,total_minutes,seniority,found_rate,picking_speed,accepted_rate,rating,lat_y,lng_y
9a949e13285d03e46f7469aabbcc4498,4,,4.0,-33.3966432,-70.565862,2019-10-19 01:28:00+00:00,True,46.7452021666667,41dc7c9e385c4d2b6c1f7836973951bf,0.8136,2.0,0.9,5.0,-33.3865471,-70.5680753
b5bbab9b0a4d1ad3536df0c721e47e6c,36,1.2,72.0,-33.5714034,-70.54959559999999,2019-10-19 17:15:00+00:00,True,106.170428933333,6c90661e6d2c7579f5ce337c3391dbb9,0.8691,1.28,1.0,4.79,-33.543943,-70.570808
66ca2e44dfe16d3245876868fa2d0115,3,,5.0,-33.4371875,-70.5618099,2019-10-18 21:00:00+00:00,False,41.7351265666667,41dc7c9e385c4d2b6c1f7836973951bf,0.8711,3.0,0.88,4.96,-33.412841409,-70.5405730585
39e2597f676a9a45059c1bf5d8f9e77f,22,3.676,43.0,-33.417496500000006,-70.56316109999999,2019-10-19 01:00:00+00:00,False,83.7834655166667,6c90661e6d2c7579f5ce337c3391dbb9,0.8495,1.27,0.92,4.96,-33.441246,-70.53545
53f3dedb3aae3eccdbbfa23f00a10f71,5,,20.0,-33.3983629110056,-70.5266660161469,2019-10-18 22:11:00+00:00,True,39.5683672166667,50e13ee63f086c2fe84229348bc91b5b,0.8855,1.42,0.8,4.96,-33.4020235543,-70.5167273924
2aabce76e7f3589f3621d062da387b73,15,1.4,31.0,-33.4482783,-70.64677990000001,2019-10-18 20:12:00+00:00,True,95.77381125,6c90661e6d2c7579f5ce337c3391dbb9,0.8420000000000001,1.33,0.96,5.0,-33.451695,-70.69216
d444671a2b602b1a434aa7edfc4335e9,21,1.7,30.0,-32.9721558,-71.5271914,2019-10-18 23:10:00+00:00,True,75.7113294666667,6c90661e6d2c7579f5ce337c3391dbb9,0.8154,1.93,0.88,4.92,-33.008213,-71.545615
761dc4d97e5f83a33110e08f4a1732ee,1,,1.0,-33.4359565456016,-70.574383,2019-10-19 00:00:00+00:00,False,87.4626880166667,41dc7c9e385c4d2b6c1f7836973951bf,,2.19,1.0,4.86,-33.388057,-70.577558
336ac8d2211e42484f0dead7a1aa0413,8,,10.0,-33.3505360603155,-70.5456609552307,2019-10-18 20:42:00+00:00,True,42.443494866666704,41dc7c9e385c4d2b6c1f7836973951bf,0.8474,2.29,0.96,4.92,-33.370765000000006,-70.51241999999999
78451ae00482850db19e488eca9c9140,2,,14.0,-33.4055734745222,-70.5924987693115,2019-10-18 22:14:00+00:00,True,81.8040586666667,41dc7c9e385c4d2b6c1f7836973951bf,0.8208,1.87,0.96,5.0,-33.3865471,-70.5680753
4cafbb2201b7e1bb2d8da2ac83fc9815,22,1.6,25.0,-33.4560471,-70.5788551,2019-10-19 16:06:00+00:00,True,74.3217461666667,41dc7c9e385c4d2b6c1f7836973951bf,0.8319,1.86,0.88,5.0,-33.4630009,-70.57530129999999
57549b0c9fc659beb8bb40a143089790,15,,46.0,-33.4341611068478,-70.5795424962952,2019-10-19 17:00:00+00:00,False,54.4982759666667,6c90661e6d2c7579f5ce337c3391dbb9,0.8376,1.55,1.0,4.96,-33.4630009,-70.57530129999999
